,id,genre_ids,title,overview,poster_path
34,1130143,"[35, 10749]",Mem Famous,"After a shattering event that leaves three reckless lazing youngster friends with no hope and mounting debts, the trio must finally pull up their socks and do something worthwhile despite their incompetence.",/nyD8twFBUkkPuqzJBt8EHOh5VNr.jpg
35,673392,"[18, 10749]",Radhe Shyam,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?",/8Lj4hi6PhXjSq5yBvNluPH0rlbZ.jpg
36,117058,"[28, 10749]",Desamuduru,"After Bala, who works for a TV channel, gets into trouble with a goon, he is sent away for an out-of-town assignment. There he meets and falls in love with a girl who gets kidnapped by a gangster.",/l9eVUQdGAEf9KPQxUddc7iE7UFS.jpg
37,530581,[10749],365 Days,This film tracks a hasty marriage through its first 365 days.,/AoFyZGDgfrQuH8ptYb41KVnTjJp.jpg
38,534530,"[28, 18]",Aravinda Sametha Veera Raghava,A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,/wKuOZdP0i6hlv5veDAUSBZ2mUaK.jpg
39,374954,"[28, 18]",Sarrainodu,"Only one man can stop a villain who, backed by his father, brutally murders anyone who gets in the way of his unscrupulous real estate deals.",/9r4LCgznHZWg2vdxbZRqnlFpKIC.jpg
40,82255,"[18, 35, 10749, 10751]",Nuvvu Naaku Nachav,"Venky and Nandini's relationship changes from mere friendship to something that is more romantic. However, love only blossoms between the two after Nandini's marriage is fixed elsewhere.",/8SU8u4Aez5O5aAABOoKVn1xnqvl.jpg
41,262227,"[35, 28]",Race Gurram,"Ram and Lakshman, aka Lucky, are brothers who are polar opposites in nature. Their mother wishes to see them united.",/rNIsCxgrtOGRDDa4P06tfgKbxua.jpg
42,365187,[28],Nannaku Prematho...,"Subramanyam, a businessman, is on his deathbed when he tells his sons about a cunning man who stole most of his wealth. Hearing this, Abhiram, the youngest son, lays out a plan to seek his revenge.",/t8RGpSw86jKFpxxnjywVBNiuPx7.jpg
43,459713,[18],Mahanati,"Mahanati depicts the life and career of one of Telugu cinema's greatest and most iconic starlets, the first Indian female super star, Savitri.",/9VaFZ5Y5S2YHz7eIlBCRKY9wBJc.jpg
44,466147,"[10749, 28, 53]",Jaya Janaki Nayaka,"Gagan is very much in love with Sweety aka Janaki, a sweet-natured girl, ever willing to lend a helping hand to those in need. But she ends up rejecting Gagan and later finds herself in a situation from which there seems no escape. Why did Sweety reject Gagan and what does he do when he finds her in a dangerous predicament.",/eB2aF05kTEcH9Bhu5JY7BNNrgAm.jpg
45,23381,"[28, 53, 80]",Pokiri,"Pandu is a ruthless contract killer and Sruthi falls in love with him after a few meetings but hesitates to confess her love to him as he is a reckless criminal. Though a goon, Pandu also has certain rigid principles that leads to an enmity with Ali Bhai - the biggest mafia don in the town.",/92nwCPbcMzTi8PGB82JU7EFCiaG.jpg
46,37172,"[28, 53]",Athadu,"A professional killer is hired to fake the assassination of a politician. However, when the politician is killed and he is framed for his murder, he takes on a dead man's identity to escape the law.",/dV2h6dx5nUatgNClkqCaKKTmA4O.jpg
47,1032293,"[35, 10751, 10749]",Anni Manchi Sakunamule,,/rUX0hS51w2lIiMBVvfMHpJfKW6W.jpg
48,716255,[10749],Most Eligible Bachelor,"A well-educated, ‘settled’ NRI falls for a stand-up comedian and wants to marry her. But when she knows what she wants from her husband, will he fit the bill?",/t7myQADi9CzpdcVWNWVAsK8o2WF.jpg
49,249772,"[28, 53, 10749]",1: Nenokkadine,"A schizophrenic rock musician, is convinced that his parents were murdered by three men. Taking the support of a journalist, he sets out to find the culprits. Will he succeed in his mission, and in the process, what will he learn about his own roots?",/dYpqpA7BsDHeyAGs9AAEPhZmbck.jpg
50,193197,"[10751, 18]",Seethamma Vakitlo Sirimalle Chettu,Brothers Peddodu and Chinnodu are unemployed and do not get along well due to their contrasting natures. They have problems marrying the women they love before an accident changes their lives.,/uUEDkRwrhIMQUE9eHC1VvfbW5yo.jpg
51,80276,"[28, 18, 35]",Dookudu,A young policeman hunts down the men who caused the accident that put his politician father into a coma.,/e9uffrN9z22uuiBF9B0bTDDvbjz.jpg
52,674779,"[10749, 28, 35]",Bheeshma,"Bheeshma Prasad, a simple meme creator has his life turned around when he wages a war against a powerful agro company that creates harmful chemicals to increase the crop yield and make more money.",/5E5BzNyjl9rIG8xaB5h9I7KsZdS.jpg
53,888234,"[28, 35]",Dhamaka,"Swamy and Anand Chakravarthy are lookalikes. Swamy is a jobless guy, while  Anand is the son of Nanda Gopal Chakravarthy, running a company called People Mart. Under dicey circumstances Pranavi, a pretty young girl falls in love with both of them. When JP, a monstrous corporate honcho seeks to acquire People Mart through unethical means, Anand and Swamy’s lives get intertwined.",/l0E50ILyzg0AyjKuV45aEPuIOz4.jpg
54,794362,"[27, 14, 35]",G-Zombie,Sara is a research student who wants to make an immunity booster to save humanity. Her experiment however turns people into zombies and in comes Dhruva to save the day.,/2suj5y3WMaSC7zg4L9kMnsRiomy.jpg
55,298536,"[10749, 35, 18]",Oka Laila Kosam,"A carefree young man leading an aimless life falls in love with a cultured and simple woman, but she does not reciprocate his emotion. However, when circumstances force her to marry him, he embarks upon a journey to make his wife fall in love with him. Will he succeed in his mission?",/2R7f9UNDO1eeViLfkK5rXcCMh3L.jpg
56,253533,"[35, 18, 14, 10751]",Manam,"A married couple die in an accident, leaving behind a son. As he grows up and becomes successful, he comes across reincarnations of his father and mother as youngsters, and vows to bring them back together.",/lE9abet9ezwSUXZf0UV6dk0NT0e.jpg
57,563604,"[18, 28, 10749]",Dear Comrade,A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story .,/pzOELvBuafrpflQQDv9babJ9EvM.jpg
58,901220,"[28, 53, 80]",Sivudu,"A rural entertainer laced with action, drama.",/38tlzBl4bSlzq2CpdbxPpU6gCbN.jpg
59,393841,"[10749, 35]",Pelli Choopulu,"Fed up with his carefree attitude, Prasanth's father fixes his marriage to make him responsible. However, meeting an ambitious girl changes his life for the better.",/1v7MyHGhdtWlzWzz0r8S3EEww0L.jpg
60,197999,"[28, 10749]",Iddarammayilatho,"A young woman becomes embroiled in a financial and political conspiracy while studying in Spain, as she meets a young musician with a somewhat dark past unfolded through the pages of his lover's diary.",/bsh8YdNxq66oH0MvJFd7hjlq6Fq.jpg
61,74154,"[18, 35, 10749]",Nuvvostanante Nenoddantana,"Siri and Sriram fall in love with each other and plan to get married. However, his mother disapproves of their relationship.",/zixbDSR1gOHgcATGdMaq20LjZEL.jpg
62,804277,"[53, 28]",Godse,"Vyshali, the assistant superintendent of police, is forcefully tasked to deal with unknown kidnapper Godse, who holds some high-profile personalities as hostages. Why did he kidnap them, what are his demands, and what does he want to achieve?",/4d9eICFsRBFtQdC4MfCQ1Tg8DnJ.jpg
63,892269,"[28, 53, 35]",Ravanasura,"An investigating officer is assigned to investigate few brutal murders, where he zeroes in on Ravindra, a criminal lawyer who has penchant for secretly committing murders as the mastermind behind the crime.",/lI8qMT1QtkHy2yiSpj2FCEMV0Tw.jpg
64,410994,"[28, 80, 53]",Dhruva,"A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",/hh7D1fLjet1Ce1kcCkk5TVr3g9O.jpg
